i_or_j,r,t
448,,1.40900430513502
449,,1.41214589778861
450,,1.4152874904422
451,,1.41842908309579
452,,1.42157067574938
453,,1.42471226840297
454,,1.42785386105656
455,,1.43099545371015
456,,1.43413704636374
457,,1.43727863901733
458,,1.44042023167092
459,,1.44356182432451
460,,1.4467034169781
461,,1.44984500963169
462,,1.45298660228528
463,,1.45612819493887
464,,1.45926978759246
465,,1.46241138024605
466,,1.46555297289964
467,,1.46869456555323
468,,1.47183615820682
469,,1.47497775086041
470,,1.478119343514
471,,1.48126093616759
472,,1.48440252882118
473,,1.48754412147477
474,,1.49068571412836
475,,1.49382730678195
476,,1.49696889943554
477,,1.50011049208913
478,,1.50325208474272
479,,1.50639367739631
480,,1.5095352700499
481,,1.51267686270349
482,,1.51581845535708
483,,1.51896004801066
484,,1.52210164066425
485,,1.52524323331784
486,,1.52838482597143
487,,1.53152641862502
488,,1.53466801127861
489,,1.5378096039322
490,,1.54095119658579
491,,1.54409278923938
492,,1.54723438189297
493,,1.55037597454656
494,,1.55351756720015
495,,1.55665915985374
496,,1.55980075250733
497,,1.56294234516092
498,,1.56608393781451
499,,1.5692255304681
500,,1.57236712312169
501,,1.57550871577528
502,,1.57865030842887
503,,1.58179190108246
504,,1.58493349373605
505,,1.58807508638964
506,,1.59121667904323
507,,1.59435827169682
508,,1.59749986435041
509,,1.600641457004
510,,1.60378304965759
511,,1.60692464231118
512,,1.61006623496477
513,,1.61320782761836
514,,1.61634942027195
515,,1.61949101292554
516,,1.62263260557913
517,,1.62577419823272
518,,1.62891579088631
519,,1.6320573835399
520,,1.63519897619349
521,,1.63834056884708
522,,1.64148216150067
523,,1.64462375415426
524,,1.64776534680785
525,,1.65090693946144
526,,1.65404853211503
527,,1.65719012476862
528,,1.66033171742221
529,,1.6634733100758
530,,1.66661490272939
531,,1.66975649538298
532,,1.67289808803656
533,,1.67603968069015
534,,1.67918127334374
535,,1.68232286599733
536,,1.68546445865092
537,,1.68860605130451
538,,1.6917476439581
539,,1.69488923661169
540,,1.69803082926528
541,,1.70117242191887
542,,1.70431401457246
543,,1.70745560722605
544,,1.71059719987964
545,,1.71373879253323
546,,1.71688038518682
547,,1.72002197784041
548,,1.723163570494
549,,1.72630516314759
550,,1.72944675580118
551,,1.73258834845477
552,,1.73572994110836
553,,1.73887153376195
554,,1.74201312641554
555,,1.74515471906913
556,,1.74829631172272
557,,1.75143790437631
558,,1.7545794970299
559,,1.75772108968349
560,,1.76086268233708
561,,1.76400427499067
562,,1.76714586764426
563,,1.77028746029785
564,,1.77342905295144
565,,1.77657064560503
566,,1.77971223825862
567,,1.78285383091221
568,,1.7859954235658
569,,1.78913701621939
570,,1.79227860887298
571,,1.79542020152657
572,,1.79856179418016
573,,1.80170338683375
574,,1.80484497948734
575,,1.80798657214093
576,,1.81112816479452
577,,1.81426975744811
578,,1.8174113501017
579,,1.82055294275529
580,,1.82369453540887
581,,1.82683612806246
582,,1.82997772071605
583,,1.83311931336964
584,,1.83626090602323
585,,1.83940249867682
586,,1.84254409133041
587,,1.845685683984
588,,1.84882727663759
589,,1.85196886929118
590,,1.85511046194477
591,,1.85825205459836
592,,1.86139364725195
593,,1.86453523990554
594,,1.86767683255913
595,,1.87081842521272
596,,1.87396001786631
597,,1.8771016105199
598,,1.88024320317349
599,,1.88338479582708
600,,1.88652638848067
601,,1.88966798113426
602,,1.89280957378785
603,,1.89595116644144
604,,1.89909275909503
605,,1.90223435174862
606,,1.90537594440221
607,,1.9085175370558
608,,1.91165912970939
609,,1.91480072236298
610,,1.91794231501657
611,,1.92108390767016
612,,1.92422550032375
613,,1.92736709297734
614,,1.93050868563093
615,,1.93365027828452
616,,1.93679187093811
617,,1.9399334635917
618,,1.94307505624529
619,,1.94621664889888
620,,1.94935824155247
621,,1.95249983420606
622,,1.95564142685965
623,,1.95878301951324
624,,1.96192461216683
625,,1.96506620482042
626,,1.96820779747401
627,,1.9713493901276
628,,1.97449098278118
629,,1.97763257543477
630,,1.98077416808836
631,,1.98391576074195
632,,1.98705735339554
633,,1.99019894604913
634,,1.99334053870272
635,,1.99648213135631
636,,1.9996237240099
637,,2.00276531666349
638,,2.00590690931708
639,,2.00904850197067
640,,2.01219009462426
641,,2.01533168727785
642,,2.01847327993144
643,,2.02161487258503
644,,2.02475646523862
645,,2.02789805789221
646,,2.0310396505458
647,,2.03418124319939
648,,2.03732283585298
649,,2.04046442850657
650,,2.04360602116016
651,,2.04674761381375
652,,2.04988920646734
653,,2.05303079912093
654,,2.05617239177452
655,,2.05931398442811
656,,2.0624555770817
657,,2.06559716973529
658,,2.06873876238888
659,,2.07188035504247
660,,2.07502194769606
661,,2.07816354034965
662,,2.08130513300324
663,,2.08444672565683
664,,2.08758831831042
665,,2.09072991096401
666,,2.0938715036176
667,,2.09701309627119
668,,2.10015468892478
669,,2.10329628157837
670,,2.10643787423196
671,,2.10957946688555
672,,2.11272105953914
673,,2.11586265219273
674,,2.11900424484632
675,,2.12214583749991
676,,2.1252874301535
677,,2.12842902280708
678,,2.13157061546067
679,,2.13471220811426
680,,2.13785380076785
681,,2.14099539342144
682,,2.14413698607503
683,,2.14727857872862
684,,2.15042017138221
685,,2.1535617640358
686,,2.15670335668939
687,,2.15984494934298
688,,2.16298654199657
689,,2.16612813465016
690,,2.16926972730375
691,,2.17241131995734
692,,2.17555291261093
693,,2.17869450526452
694,,2.18183609791811
695,,2.1849776905717
696,,2.18811928322529
697,,2.19126087587888
698,,2.19440246853247
699,,2.19754406118606
700,,2.20068565383965
701,,2.20382724649324
702,,2.20696883914683
703,,2.21011043180042
704,,2.21325202445401
705,,2.2163936171076
706,,2.21953520976119
707,,2.22267680241478
708,,2.22581839506837
709,,2.22895998772196
710,,2.23210158037555
711,,2.23524317302914
712,,2.23838476568273
713,,2.24152635833632
714,,2.24466795098991
715,,2.2478095436435
716,,2.25095113629709
717,,2.25409272895068
718,,2.25723432160427
719,,2.26037591425786
720,,2.26351750691145
721,,2.26665909956504
722,,2.26980069221863
723,,2.27294228487222
724,,2.27608387752581
725,,2.27922547017939
726,,2.28236706283298
727,,2.28550865548657
728,,2.28865024814016
729,,2.29179184079375
730,,2.29493343344734
731,,2.29807502610093
732,,2.30121661875452
733,,2.30435821140811
734,,2.3074998040617
735,,2.31064139671529
736,,2.31378298936888
737,,2.31692458202247
738,,2.32006617467606
739,,2.32320776732965
740,,2.32634935998324
741,,2.32949095263683
742,,2.33263254529042
743,,2.33577413794401
744,,2.3389157305976
745,,2.34205732325119
746,,2.34519891590478
747,,2.34834050855837
748,,2.35148210121196
749,,2.35462369386555
750,,2.35776528651914
751,,2.36090687917273
752,,2.36404847182632
753,,2.36719006447991
754,,2.3703316571335
755,,2.37347324978709
756,,2.37661484244068
757,,2.37975643509427
758,,2.38289802774786
759,,2.38603962040145
760,,2.38918121305504
761,,2.39232280570863
762,,2.39546439836222
763,,2.39860599101581
764,,2.4017475836694
765,,2.40488917632299
766,,2.40803076897658
767,,2.41117236163017
768,,2.41431395428376
769,,2.41745554693735
770,,2.42059713959094
771,,2.42373873224453
772,,2.42688032489812
773,,2.4300219175517
774,,2.43316351020529
775,,2.43630510285888
776,,2.43944669551247
777,,2.44258828816606
778,,2.44572988081965
779,,2.44887147347324
780,,2.45201306612683
781,,2.45515465878042
782,,2.45829625143401
783,,2.4614378440876
784,,2.46457943674119
785,,2.46772102939478
786,,2.47086262204837
787,,2.47400421470196
788,,2.47714580735555
789,,2.48028740000914
790,,2.48342899266273
791,,2.48657058531632
792,,2.48971217796991
793,,2.4928537706235
794,,2.49599536327709
795,,2.49913695593068
796,,2.50227854858427
797,,2.50542014123786
798,,2.50856173389145
799,,2.51170332654504
800,,2.51484491919863
801,,2.51798651185222
802,,2.52112810450581
803,,2.5242696971594
804,,2.52741128981299
805,,2.53055288246658
806,,2.53369447512017
807,,2.53683606777376
808,,2.53997766042735
809,,2.54311925308094
810,,2.54626084573453
811,,2.54940243838812
812,,2.55254403104171
813,,2.5556856236953
814,,2.55882721634889
815,,2.56196880900248
816,,2.56511040165607
817,,2.56825199430966
818,,2.57139358696325
819,,2.57453517961684
820,,2.57767677227043
821,,2.58081836492402
822,,2.5839599575776
823,,2.58710155023119
824,,2.59024314288478
825,,2.59338473553837
826,,2.59652632819196
827,,2.59966792084555
828,,2.60280951349914
829,,2.60595110615273
830,,2.60909269880632
831,,2.61223429145991
832,,2.6153758841135
833,,2.61851747676709
834,,2.62165906942068
835,,2.62480066207427
836,,2.62794225472786
837,,2.63108384738145
838,,2.63422544003504
839,,2.63736703268863
840,,2.64050862534222
841,,2.64365021799581
842,,2.6467918106494
843,,2.64993340330299
844,,2.65307499595658
845,,2.65621658861017
846,,2.65935818126376
847,,2.66249977391735
848,,2.66564136657094
849,,2.66878295922453
850,,2.67192455187812
851,,2.67506614453171
852,,2.6782077371853
853,,2.68134932983889
854,,2.68449092249248
855,,2.68763251514607
856,,2.69077410779966
857,,2.69391570045325
858,,2.69705729310684
859,,2.70019888576043
860,,2.70334047841402
861,,2.70648207106761
862,,2.7096236637212
863,,2.71276525637479
864,,2.71590684902838
865,,2.71904844168197
866,,2.72219003433556
867,,2.72533162698915
868,,2.72847321964274
869,,2.73161481229633
870,,2.73475640494991
871,,2.7378979976035
872,,2.74103959025709
873,,2.74418118291068
874,,2.74732277556427
875,,2.75046436821786
876,,2.75360596087145
877,,2.75674755352504
878,,2.75988914617863
879,,2.76303073883222
880,,2.76617233148581
881,,2.7693139241394
882,,2.77245551679299
883,,2.77559710944658
884,,2.77873870210017
885,,2.78188029475376
886,,2.78502188740735
887,,2.78816348006094
888,,2.79130507271453
889,,2.79444666536812
890,,2.79758825802171
891,,2.8007298506753
892,,2.80387144332889
893,,2.80701303598248
894,,2.81015462863607
895,,2.81329622128966
896,,2.81643781394325
897,,2.81957940659684
898,,2.82272099925043
899,,2.82586259190402
900,,2.82900418455761
901,,2.8321457772112
902,,2.83528736986479
903,,2.83842896251838
904,,2.84157055517197
905,,2.84471214782556
906,,2.84785374047915
907,,2.85099533313274
908,,2.85413692578633
909,,2.85727851843992
910,,2.86042011109351
911,,2.8635617037471
912,,2.86670329640069
913,,2.86984488905428
914,,2.87298648170787
915,,2.87612807436146
916,,2.87926966701505
917,,2.88241125966864
918,,2.88555285232222
919,,2.88869444497581
920,,2.8918360376294
921,,2.89497763028299
922,,2.89811922293658
923,,2.90126081559017
924,,2.90440240824376
925,,2.90754400089735
926,,2.91068559355094
927,,2.91382718620453
928,,2.91696877885812
929,,2.92011037151171
930,,2.9232519641653
931,,2.92639355681889
932,,2.92953514947248
933,,2.93267674212607
934,,2.93581833477966
935,,2.93895992743325
936,,2.94210152008684
937,,2.94524311274043
938,,2.94838470539402
939,,2.95152629804761
940,,2.9546678907012
941,,2.95780948335479
942,,2.96095107600838
943,,2.96409266866197
944,,2.96723426131556
945,,2.97037585396915
946,,2.97351744662274
947,,2.97665903927633
948,,2.97980063192992
949,,2.98294222458351
950,,2.9860838172371
951,,2.98922540989069
952,,2.99236700254428
953,,2.99550859519787
954,,2.99865018785146
955,,3.00179178050505
