
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;P0;P1;BINARY;ASSOC;PSR;
;(s);;(type);;TYPE;
273;0.033392;4.21e-13;*;GRS:4FGL_J0534.5+2200[aab+22],SNR:Crab[c;HE[cdt69],HE[fhm+69],HE[h;
274;*;*;*;*;RRAT[ttm18];
275;0.979000;*;*;*;*;
276;1.817565;4.25e-13;*;EXGAL:LMC;*;
277;0.210524;*;*;EXGAL:LMC;*;
278;0.200511;1.15e-14;*;EXGAL:LMC;*;
279;1.245856;5.78e-16;*;*;*;
280;0.112613;*;*;EXGAL:LMC;*;
281;0.016122;5.18e-14;*;EXGAL:LMC,SNR:N157B;NRAD;
282;0.143158;3.67e-15;*;SNR:S147[acj+96];HE[mkz+03];
283;0.524271;4.48e-16;*;*;*;
284;0.401141;1.17e-17;*;*;*;
285;0.050570;4.79e-13;*;GRS:4FGL_J0540.3-6920[aab+22],EXGAL:LMC,;HE[mp85];
286;1.286015;8.20e-16;*;*;*;
287;0.425189;*;*;EXGAL:LMC;*;
288;0.245975;1.54e-14;*;XRS:[pb15];*;
289;0.708954;3.94e-15;*;EXGAL:LMC;*;
290;*;*;*;*;RRAT[dsm+16];
291;1.073930;*;*;*;RRAT;
292;2.843850;7.65e-15;*;*;*;
293;1.745000;*;*;*;RRAT[dsm+16];
294;0.560000;*;*;*;*;
295;0.559493;1.37e-17;*;*;*;
296;0.464961;1.43e-13;*;GRS:4FGL_J0554.1+3107[aab+22],SNR:G179.0;NRAD[aab+22];
297;1.146906;*;*;*;*;
298;0.827838;5.96e-15;*;EXGAL:LMC;*;
299;0.790549;*;*;EXGAL:LMC;*;
300;0.002556;7.35e-21;ELL1;*;*;
301;0.043643;7.30e-20;*;*;*;
302;2.261365;2.78e-15;*;*;*;
303;0.395969;1.30e-15;*;*;*;
304;0.002728;4.72e-21;BT;GRS:4FGL_J0605.1+3757[aab+22];HE;
305;1.076200;*;*;*;*;
306;0.945845;1.35e-14;*;*;*;
307;0.055698;2.35e-19;*;*;*;
308;0.003861;1.23e-20;ELL1;GRS:4FGL_J0610.2-2100[aab+22],OPT:[pmd+1;HE[egc+13];
309;1.674430;*;*;*;*;
310;0.270329;4.00e-15;*;*;*;
311;1.412090;*;*;*;*;
312;0.297982;5.95e-17;*;*;*;
313;0.443871;1.50e-16;*;*;*;
314;0.619198;3.24e-15;*;*;*;
315;0.003062;9.59e-21;T2;GRS:4FGL_J0613.7-0201[aab+22];HE[aab+22];
316;0.334960;5.94e-14;*;*;*;
317;1.039200;*;*;*;*;
318;0.003149;1.74e-20;ELL1;GRS:4FGL_J0614.1-3329[aab+22];HE[aab+22];
319;0.269954;7.24e-18;*;*;*;
320;0.028854;4.73e-20;DD;*;*;
321;0.002722;2.48e-20;ELL1;GRS:4FGL_J0621.2+2512[aab+22];HE[aab+22];
322;*;*;*;*;RRAT;
323;0.333208;2.54e-14;*;GRS:4FGL_J0622.2+3749[aab+22];NRAD[aab+22];
324;0.613760;8.84e-17;*;*;*;
325;1.039076;8.30e-16;*;*;*;
326;0.498397;*;*;*;*;
327;0.346523;1.70e-15;*;*;*;
328;0.475885;2.98e-14;*;*;*;
329;2.180000;*;*;*;RRAT;
330;1.241421;5.48e-16;*;*;RRAT;
331;0.476623;2.00e-15;*;*;*;
332;1.248550;*;*;*;*;
333;0.680575;3.75e-15;*;*;*;
334;1.244419;7.12e-15;*;XRS:RX_J0630.8-2834[bjk+05];HE[to05];
335;0.110979;3.62e-15;*;GRS:4FGL_J0631.8+0645[aab+22];HE[wcp+18];
